fiidex,fi_cycle,fi_bit,opcode,error_type
2563,1346426327,21,fadd,benign
2385,418953582,21,sext,SDC
583,377774309,118,insertelement,benign
1151,1150902300,18,fneg,benign
623,597728804,3,fsub,benign
5016,1776722479,0,icmp,benign
5004,763038361,0,icmp,benign
631,1725389221,21,fsub,benign
1357,1339126797,28,load,benign
3732,801602214,37,fadd,benign
976,622667414,22,load,benign
628,1752886658,54,fmul,SDC
2193,1074483646,73,shufflevector,benign
3746,896517861,3,fadd,benign
1189,1161150145,29,load,benign
3083,1127687349,51,fmul,benign
3313,1095799717,54,insertelement,benign
4601,1680375994,10,fneg,benign
1347,1356221988,39,load,SDC
3217,621525942,40,load,benign
3098,1561901883,31,load,benign
662,173785972,18,fadd,benign
5185,1511311200,5,phi,benign
3921,130589032,20,fadd,benign
2503,51483525,7,fadd,benign
3008,1323306182,56,fmul,SDC
2240,472225105,15,load,benign
356,1704625279,10,load,benign
1035,1304116865,59,sext,SDC
3054,1221711090,18,load,benign
2016,1582078441,23,load,benign
1158,1014267287,3,load,benign
1037,82730723,19,load,benign
2132,147054007,51,insertelement,benign
3877,713519674,58,fadd,benign
1148,999902540,37,fneg,SDC
380,1451307501,8,load,benign
3484,1194299752,33,load,benign
2557,150351378,10,load,benign
3473,112517493,0,icmp,SDC
2563,302572760,38,fadd,benign
464,520614872,95,fsub,benign
504,569638974,104,fneg,benign
1148,732847668,45,fneg,benign
614,1873959246,4,fsub,benign
490,1648575346,24,extractelement,benign
1682,461632070,32,load,benign
3193,1734517383,33,load,benign
2271,1242213179,51,insertelement,SDC
700,1784009185,36,load,benign
985,746239967,7,fadd,benign
3598,1965853275,29,load,SDC
960,735534734,0,icmp,SDC
3514,765927087,0,icmp,SDC
626,372020903,28,fsub,benign
4752,2028014273,19,load,SDC
952,198955489,3,load,benign
633,1632378069,54,fadd,SDC
3740,1800560185,12,fadd,benign
3269,1955048804,0,fsub,benign
5142,699837437,15,fdiv,benign
2044,1796000189,2,load,benign
730,1973300254,17,load,benign
3977,872166924,15,load,benign
2226,1053052258,20,load,benign
3199,366921716,37,load,benign
808,946647119,8,phi,SDC
3135,780004010,49,load,benign
3473,1707092595,0,icmp,SDC
1327,2001990362,17,load,benign
783,1255000095,24,load,benign
1148,125004028,44,fneg,benign
3566,1420619028,13,load,benign
3000,638914204,126,fmul,SDC
646,516787369,20,fmul,benign
614,1125287296,3,fsub,benign
1158,347758544,58,load,benign
4750,777171497,54,phi,SDC
2682,1286591039,0,icmp,benign
1556,1706440598,28,load,benign
3459,635217134,27,sext,SDC
491,1782817759,49,fneg,benign
625,1601215104,20,fadd,benign
3320,1986007541,47,load,benign
4282,1759574414,1,fcmp,SDC
736,601384562,60,load,SDC
3823,519205080,47,fadd,benign
946,601455411,55,sext,SDC
1151,1404984914,43,fneg,SDC
1220,1349362506,19,load,benign
1802,1961258670,7,load,benign
532,2021645295,12,extractelement,benign
3510,1225038940,80,load,benign
3304,878789819,49,extractelement,benign
4960,350170180,31,load,SDC
3072,1920389775,3,fsub,benign
2069,962262893,1,load,benign
1155,971783738,24,fneg,benign
2955,1862377033,1,fsub,benign
378,994072092,58,load,benign
1110,1943266237,59,fadd,SDC
3163,1693290875,7,fdiv,benign
623,1688091924,19,fsub,benign
598,1397707822,2,extractelement,benign
3774,1683419029,18,fmul,benign
625,1698208880,43,fadd,SDC
5146,1233421905,0,fcmp,benign
925,1383136621,37,load,SDC
1159,153208902,14,fmul,benign
2937,232373420,27,insertelement,benign
646,446294927,11,fmul,benign
3335,1899826215,29,extractelement,benign
3531,546822493,41,add,SDC
1122,153520441,28,fneg,benign
631,251791568,33,fsub,benign
3159,218071845,63,fmul,benign
615,1466906390,35,fsub,benign
1319,1564443179,32,load,benign
2877,72992736,31,load,benign
4455,1907632747,115,load,benign
3166,1008235892,56,load,benign
3051,1180372259,49,load,SDC
2999,1645083470,59,fneg,SDC
4302,1535356281,0,icmp,SDC
738,714195020,31,load,benign
5069,1604571744,31,load,SDC
1236,1674838934,49,load,SDC
3465,41498153,62,load,SDC
2542,485871305,20,load,benign
645,580071996,40,fneg,SDC
4050,1327159321,55,fmul,benign
650,1272189798,22,fadd,benign
2307,1447135779,69,fmul,benign
3523,1005305546,54,load,benign
3478,2020694898,44,sext,SDC
2137,30407818,87,shufflevector,benign
1218,287845860,21,load,benign
603,992205822,17,extractelement,benign
1145,231327374,10,fneg,benign
1132,701057009,35,fadd,benign
3080,1579796360,13,fadd,benign
613,343434631,14,fadd,benign
1764,284934655,12,load,benign
370,587325710,46,load,benign
3332,249828138,52,load,benign
1144,255872564,2,fadd,benign
3081,1676288469,46,fadd,benign
671,11595246,25,fadd,benign
2779,839278754,55,load,SDC
1306,1211161,13,load,benign
4755,1396762109,23,load,benign
864,1265185886,105,fneg,SDC
616,35717318,8,fmul,benign
